route_number,origin,destination,onwards_count,return_count,first_stop,last_stop,first_bus,last_bus
72J,,,24,0,Afzalgunj Bus Terminus,Jaipuri Colony Last Bus Stop,,
71A,,,24,0,Charminar Bus Station,Uppal Gandhi Statue,,
65A,Charminar,Ambedkar Nagar (Chinthal Basthi),24,18,Ambedkar Nagar (Chinthal Basthi),Charminar,6:23 AM,7:09 PM
63S,Syed Nagar,Charminar,19,24,Charminar,Syed Nagar,6:10 AM,8:19 PM
9C,,,19,0,Yusufguda Basthi,Mahatma Gandhi Bus Station,,
3,Rajiv Gruhakalpa Colony,Afzalgunj Terminal,58,57,Afzalgunj Bus Terminus,Rajiv Gruhakalpa Colony,8:58 AM,6:20 PM
2F,,,17,0,Afzalgunj Bus Terminus,Ramnagar Gundu Bus Stop,,
1,Chilakalaguda,Afzalgung Central Library,22,19,Afzal Gunj Bus Stop,Secunderabad/Chilkalguda Circle Bus Stop,4:20 AM,9:21 AM
299M,Mehdipatnam,Hayathnagar Depot,47,50,Hayathnagar Depot,Mehdipatnam Bus Stop,5:25 AM,8:45 PM
293T,Thorrur 1,Nampally,35,37,Nampally Railway Station,Thorrur 1,5:30 AM,7:05 PM
288K,Koti Osmaniya Hospital,Chilkur Balaji Temple,48,46,Chilkur Bus Stop,Koti Osmaniya Hospital,7:05 AM,2:55 PM
288H,Koti Bus Terminal,Himayat Sagar,32,31,Himayat Sagar Bus Stop,Koti Bus Terminal,4:40 AM,3:30 PM
287N,Koti,Bachupally,44,45,Bachupally X Road,Koti,5:40 AM,5:05 PM
284P,Prapap Singaram,Koti Bus Terminus,23,25,Koti Bus Terminal,Prapap Singaram,5:27 AM,10:07 PM
283T,Peerjadiguda Kaman,Koti Bus Terminus,23,26,Koti Bus Terminal,Peerjadiguda Kaman,5:51 AM,8:31 PM
283P,Kormalla,Koti Bus Terminal,35,37,Koti Bus Terminal,Bustop,8:00 AM,6:55 PM
283K,Kormalla,Koti Bus Terminal,35,37,Koti Bus Terminal,Bustop,5:30 AM,6:15 PM
283,Koti Bus Terminus,Bacharam 1,43,40,Bacharam 2,Koti Bus Terminus,4:40 AM,8:40 PM
280R,Koti Bus Terminal,Uppal Depot,22,22,Boduppal,Koti Bus Terminal,7:20 AM,5:15 PM
280E,Koti Bus Terminus,NFC Nagar,49,44,NFC Nagar,Koti Bus Terminus,4:30 AM,6:00 PM
277Y,Koti Womens College,IS Sadan,17,14,IS Sadan,Koti Womens College,5:25 AM,6:50 PM
277N,Koti Womens College,Nadargul,39,37,Nadargul,Koti Womens College,5:00 AM,9:00 PM
277M,M.M Kunta,Koti Womens College,34,35,Koti Womens College,M.M Kunta,7:15 AM,5:55 PM
277B,Koti Womens College,Ibrahimpatnam Bus Depot,49,45,Ibrahimpatnam Bus Depot,Koti Womens College,5:20 AM,8:55 PM
251B,Shamsabad Bus Station,Koti Womens College,29,29,Koti Womens College,Shamshabad Bus Stop,5:25 AM,12:39 PM
229X,Medchal,Koti Bus Terminus,46,40,Koti Bus Terminal,Medchal,7:25 AM,6:20 PM
225S,Charminar,Patancheru Bus Terminal,68,62,Patancheru Bus Terminal,Charminar Bus Stop,7:50 AM,4:00 PM
225L/V,NGOS Colony,Lingampally,75,82,Lingampally Bus Station,NGO’s Colony Bus Stop,4:10 AM,9:05 PM
225L/299,Lingampally,Hayath Nagar,86,80,Hayath Nagar,Lingampally Bus Station,6:25 AM,1:40 PM
225L,L.B. Nagar Ring Road,Lingampally,209,0,5:00 AM,Lingampally Bus Station,,
225HP,Afzalgunj Terminal,Patancheru Bus Terminal,62,60,Patancheru Bus Terminal,Afzalgunj Bus Terminus,5:30 AM,7:30 PM
225D,Dilsukhnagar,Patancheru Bus Terminal,64,63,Patancheru Bus Terminal,Dilsukhnagar,5:15 AM,9:05 PM
225C,,,32,0,Infosys,Mahatma Gandhi Bus Station,,
225A,Mahatma Gandhi Bus Station (MGBS),Patancheru Bus Terminal,58,59,Patancheru Bus Terminal,Mahatma Gandhi Bus Station (MGBS),7:00 AM,10:40 PM
225,Koti Bus Terminus,Patancheru Bus Terminal,70,67,Patancheru Bus Terminal,Koti Bus Terminus,12:03 AM,10:59 PM
224H,HMT Swarnapuri Colony,Koti,50,50,Koti,HMT Swarnapuri Colony Bus Stop,7:55 AM,7:00 PM
224/205F,,,78,0,Ramoji Film City,Miyapur X Road,,
224/187D/V,,,60,0,L.B. Nagar Ring Road,Miyapur bus depot,,
223R,Koti Bus Terminal,Patancheru Bus Terminal,54,55,Patancheru Bus Terminal,Koti Bus Terminal,5:35 AM,8:15 AM
223A,Koti Bus Terminal,Patancheru Bus Terminal,65,63,Patancheru Bus Terminal,Koti Bus Terminal,7:50 AM,2:45 PM
222P,L.B. Nagar Ring Road,Patancheru Bus Terminal,84,94,Patancheru Bus Terminal,L.B. Nagar Ring Road,4:30 AM,4:39 PM
222L,Lingampally,L,80,73,L.B. Nagar Ring Road,Lingampally Bus Station,6:59 AM,7:19 PM
222A,Central Bus Station (CBS),Patancheru Bus Terminal,62,74,Lingampally Bus Station,Central Bus Station (CBS),11:31 PM,8:19 AM
218L/V,NGOS Colony,Lingampally,74,82,Lingampally Bus Station,NGO’s Colony Bus Stop,4:10 AM,9:05 PM
218L,,,56,0,Dilsukhnagar Bus Station,Lingampally Bus Station,,
218HG,,,89,0,Hayath Nagar,Gitam University,,
218D,TSRTC Dilsukhnagar Bus Station,Patancheru Bus Terminal,55,73,Lingampally Bus Station,Dilsukhnagar Bus Station,1:01 AM,10:45 PM
218C,Patancheru Bus Terminal,Lingampally,67,58,Central Bus Station (CBS),Patancheru Bus Station,3:30 AM,9:03 AM
218,Koti Osmania Hospital,Patancheru Bus Terminal,58,58,Patancheru Bus Station,Koti Bus Terminal,6:15 AM,9:20 PM
217M,Koti Bus Terminus,Keerthimahal / BHEL,43,43,Keerthimahal Bus Stop,Koti Bus Terminus,5:30 AM,6:45 PM
217D/L,,,60,0,Dilsukhnagar Bus Station,Lingampally,,
217D/A,Patancheru,Nagole Bus Stand,72,70,Dilsukhnagar Bus Station,Patancheru,5:12 AM,9:25 PM
217D,TSRTC Dilsukhnagar Bus Station,Gitam University,71,79,Gitam University,Dilsukhnagar Bus Station,8:50 AM,8:50 AM
217C,,,65,0,Central Bus Station (CBS),Patancheru Bus Station,,
217A,Midani X Roads,Patancheru Bus Terminal,66,65,Patancheru Bus Terminal,Midani X Roads,7:05 AM,6:35 PM
217,Central Bus Station (CBS),Patancheru Bus Terminal,55,62,Patancheru Bus Station,Central Bus Station,11:10 PM,5:01 AM
216L,,,44,0,Lingampally Bus Station,Mahatma Gandhi Bus Station (MGBS),,
216KL,,,52,0,Koti,Lingampally Bus Station,,
208R,Nampally,Hayath Nagar Bus Station,38,37,Hayath Nagar,Public Gardens Bus Stop,7:10 AM,6:43 PM
208,Hayath Nagar Bus Station,Nampally,29,30,Nampally,Hayath Nagar Bus Station,9:10 AM,9:10 PM
205F,Mehdipatnam,Ramoji Film City,57,59,Ramoji Film City,Mehdipatnam Bus Stop,4:40 AM,4:00 PM
204N,,,41,0,Abudllapurmet Bus Stop,Public Gardens Bus Stop,,
187JL,JNTU,L,58,46,L.B. Nagar Ring Road,K.P.H.B Main Road Bus Stop,7:05 AM,7:00 PM
187J,Koti,KPHB Colony MIG,35,34,KPHB Colony MIG,Koti,7:05 AM,6:35 PM
187HJ,,,62,0,Hayath Nagar,K.P.H.B Main Road Bus Stop,,
187DM,,,58,0,NGOS Colony,K.P.H.B Main Road Bus Stop,,
187DV,,,61,0,NGOS Colony,KPHB 4th Phase,,
187D/L-2,,,60,0,NGOS Colony,K.P.H.B Main Road Bus Stop,,
187D/L,KPHB Colony,L,52,42,LB Nagar Ring Road Bus Stop,KPHB Colony,6:00 AM,9:00 PM
187D,Dilsukhnagar,KPHB,38,40,K.P.H.B Main Road Bus Stop,Dilsukhnagar,6:30 AM,8:55 PM
187/205F,,,73,0,Ramoji Film City,K.P.H.B Main Road Bus Stop,,
187,KPHB Colony,Koti,37,37,Koti,KPHB Colony,11:15 PM,11:15 PM
185N,Koti,Shamshiguda,36,35,Shamshiguda,Koti,4:40 AM,8:50 PM
176,Bairamalguda,Nampally,22,21,Public Gardens Bus Stop,Bairamal Guda Bus Stop,7:40 AM,8:55 PM
171M,Central Bus Station (CBS),Gajula Ramaram,57,61,Gajula Ramaram,Central Bus Station,7:05 AM,8:15 PM
171K,Mahatma Gandhi Bus Station,Gajula Ramaram,44,46,Gajula Ramaram,Mahatma Gandhi Bus Station,5:20 AM,8:20 PM
171C,Central Bus Station (CBS),Srinivas Nagar,41,42,Srinivas Nagar,Central Bus Station,6:20 AM,5:15 PM
158V/J,Jeedimetla Bus Depot,NGOS Colony,77,74,NGOS Colony,Jeedimetla Bus Depot,6:00 AM,6:05 PM
158V,,,50,0,NGOS Colony,Sanath Nagar Bus Depot,,
158S,Sanath Nagar,Pallavi Talkies,32,34,Pallavi Talkies,Sanath Nagar,8:40 AM,6:40 PM
158N,Sanath Nagar,VV Nagar,39,38,V.V.Nagar Bus Stop,Sanath Nagar,6:25 AM,7:40 PM
158M,New Maruthi Nagar,Sanath Nagar,43,44,Sanath Nagar Bus Depot,New Maruthinagar Bus Stop,7:10 AM,7:10 PM
158L,,,42,0,L.B. Nagar Ring Road,Sanath Nagar Bus Depot,,
158JA,L.B. Nagar Ring Road,Dilsukhnagar,68,51,Jeedimetla Bus Depot,LB Nagar Ring Road Bus Stop,7:55 AM,8:00 PM
158J/D,,,49,0,Dilsukhnagar,Jeedimetla Bus Depot,,
158J/272G,,,69,0,L.B. Nagar Ring Road,Gandimaysamma X Road Bus Stop,,
158J,,,57,0,L.B. Nagar Ring Road,Jeedimetla Bus Depot,,
158FV,NGOS Colony,Borabanda,49,53,Borabanda Bus Stand,NGO’s Colony Bus Stop,12:45 AM,4:40 PM
158FB,,,53,0,BN Reddy Nagar,Borabanda Bus Stand,,
158F/299,Borabanda,Hayath Nagar Bus Station,61,60,Hayath Nagar,Borabanda Bus Stand,7:25 AM,7:25 AM
158F,Chaitanyapuri,Borabanda,41,37,Borabanda Bus Stand,Chaitanyapuri,6:05 AM,7:05 PM
158D/L,,,34,0,Dilsukhnagar,Sanath Nagar Bus Depot,,
158/299,Sanath Nagar Terminal,Hayath Nagar Bus Station,60,58,Hayath Nagar,Sanath Nagar Bus Depot,11:20 AM,7:45 PM
158/277D,Ibrahimpatnam Bus Depot,Sanath Nagar Terminal,70,74,Sanath Nagar Bus Depot,Ibrahimpatnam Bus Station,7:30 AM,4:30 PM
158,,,46,0,Bandlaguda Bus Stop,Sanath Nagar Bus Depot,,
156V/118W,Waverock,NGOS Colony,65,65,NGOS Colony,Waverock,7:00 AM,7:00 AM
156L/216G,,,54,0,L.B. Nagar Ring Road,Gachibowli Stadium,,
156L,Mehdipatnam,L,39,35,L.B. Nagar Ring Road,Mehdipatnam Bus Stop,5:07 AM,8:39 PM
156/299,Mehdipatnam,Hayath Nagar Bus Station,48,49,Hayath Nagar,Mehdipatnam Bus Stop,3:00 AM,6:15 PM
156/288H,,,73,0,Hayath Nagar,Chilkur,,
156/216L,,,66,0,L.B. Nagar Ring Road,Lingampally Bus Stop,,
156/216G,Gachibowli Stadium,L,67,47,Hayath Nagar,Gachibowli Stadium,7:00 AM,8:05 PM
156/216,Lingampally,Hayath Nagar Bus Station,80,80,Hayath Nagar,Lingampally Bus Stop,8:35 AM,4:20 PM
156/204U,Mehdipatnam,Sanghi Nagar,56,54,Sanghi Nagar,Mehdipatnam Bus Stop,6:00 AM,9:00 PM
156,Sai Baba Temple,TSRTC Dilsukhnagar Bus Station,27,27,Dilsukhnagar,Sai Baba Temple,6:45 AM,3:34 PM
153,Mehdipatnam,Saidabad Colony,23,19,Saidabad Colony Bus Stop,Mehdipatnam,7:00 AM,7:45 PM
152G,Nampally,Ganeshpuri Colony,15,18,Ganeshpuri Colony,Nampally,6:55 AM,10:15 PM
152,Nampally,Dilsukhnagar,16,14,Dilsukhnagar,Public Gardens Bus Stop,5:30 AM,7:50 PM
142S,Koti,Shekpet Village,27,22,Shekpet Village,Koti,6:45 AM,7:55 PM
142K,Golconda Fort,Koti Bus Terminal,22,25,Koti,Golconda Bus Station,6:30 AM,7:40 PM
135,Erramanzil,Koti Bus Terminus,12,15,Koti Bus Terminal,Erramanzil,7:13 AM,7:45 PM
127T,,,13,0,Koti Bus Terminal,NBT Nagar,,
127N,,,25,0,Nandi Nagar,Koti,,
127LK,,,64,0,L.B. Nagar Ring Road,Kondapur Bus Depot,,
127LH,,,57,0,L.B. Nagar Ring Road,Hitech City Bus Stop,,
127KH,,,68,0,Hitech City,NGO’s Colony Bus Stop,,
127K/V,Kondapur Bus Depot,NGOS Colony,77,72,NGOS Colony,Kondapur Bus Depot,4:00 AM,4:30 PM
127K/S,,,79,0,Sai Nagar Colony Bus Stop,Allwyn Colony X Road,,
127K,Kondapur Bus Depot,Koti Bus Terminal,44,45,Koti Bus Terminal,Kondapur Bus Depot,5:20 AM,10:40 AM
127J,Jubilee Hill Road No.36 Odeesey,Koti,24,29,Koti,Jubilee Hill Road No.36 Odeesey,6:25 AM,7:29 PM
127HJ,,,70,0,Hayathnagar Depot,JNTU,,
127F,Film Nagar,Koti,20,24,Koti,Film Nagar,6:36 AM,7:20 PM
118W,Koti Bus Terminal,Waverock,39,45,Waverock,Koti Bus Terminal,6:00 AM,9:00 PM
118T,Tallagadda,Koti,22,25,Koti,Tallagadda,9:25 AM,8:20 PM
118D/W,Waverock,TSRTC Dilsukhnagar Bus Station,52,46,Dilsukhnagar,Waverock,7:30 AM,7:40 PM
116T,Koti Bus Terminus,Tallagadda,15,17,Talla Gadda,Koti Bus Terminus,6:25 AM,10:38 AM
116N,Nanak Ram Guda,Koti Bus Terminus,23,23,Koti Bus Terminal,Nanak Ram Guda,5:35 AM,1:53 PM
116,Puppala Guda,Koti Bus Terminus,18,19,Koti Bus Terminal,Puppala Guda,6:20 AM,8:50 PM
115M-2,,,39,0,Boduppal,Mehdipatnam Bus Stop,,
115M,Uppal,Mehdipatnam,37,39,Mehdipatnam Bus Stop,Uppal,7:30 AM,7:00 PM
115,Uppal Bus Stand,Koti Osmaniya Hospital,20,23,Koti,Uppal Gandhi Statue,7:43 AM,5:40 PM
104R,RN Reddy Nagar,Koti Womens College,24,27,Koti Womens College,Meerpet X Road,4:25 AM,10:10 PM
104A,Koti Womens College,Almasguda,30,28,Almasguda,Koti Womens College,5:50 AM,10:30 PM
103,Pahadi Sharif,Koti Womens College,36,37,Koti Womens College,Pahadi Sharif,6:03 AM,8:35 PM
102P,Pahadi Sharif,Koti Womens College,35,34,Koti Womens College,Pahadi Shareef Bus Stop,7:20 AM,8:10 PM
102F,DRDO,Borabanda,40,36,Borabanda Bus Stand,DRDO,5:00 AM,9:20 PM
101S,Nampally,Saroor Nagar,21,21,Saroor Nagar Bus Terminal,Public Gardens Bus Stop,5:00 AM,11:32 AM
101R,Nampally,RN Reddy Nagar,33,33,Nandanavanam 2,Public Gardens Bus Stop,7:50 AM,7:12 PM
100T,Gandhi Bavan,Telephone Colony,17,18,Telephone Colony,Gandhi Bhavan Bus Stop,8:20 AM,7:40 PM
100R,Gandhi Bavan,Snehapuri Uppal,21,21,Snehapuri Uppal,Gandhi Bhavan Bus Stop,6:30 AM,6:03 PM
100N,Gandhi Bavan,NGOS Colony,28,28,NGOS Colony,Gandhi Bhavan Bus Stop,6:55 AM,6:48 PM
100M,Nampally,New Maruthi Nagar,17,17,New Maruthi Nagar,Public Gardens Bus Stop,6:00 AM,8:00 PM
100L,Nampally,Agrl Market / NTR Nagar,19,19,Doctors Colony Bus Stop,Public Gardens Bus Stop,6:10 AM,9:10 PM
100K,Nampally,SBI Colony,16,16,SBI Colony,Public Gardens Bus Stop,6:45 AM,8:15 PM
100J,Nampally,Jaipuri Colony 1,32,32,Jaipuri Colony 1,Public Gardens Bus Stop,6:55 AM,4:58 PM
100H,Koti Womens College,Road No 10 C Gayathri Hills,19,19,Road No 10 C Gayathri Hills,Koti Womens College,7:00 AM,6:29 PM
100G,Nampally,GSI Complex,31,27,GSI Complex,Public Gardens Bus Stop,6:15 AM,8:00 PM
100A,Nampally,Alkapuri Colony Uppal,21,21,Alkapuri Bus Stop,Public Gardens Bus Stop,6:00 AM,6:33 PM
99M,,,29,0,Sahara Gate,Koti Womens College,,
99,,,27,0,Complex Bus Stop,Kachiguda Bus Station,,
98,Mehdipatnam,Malakpet,26,23,Malakpet,Mehdipatnam,7:20 AM,7:35 PM
96N,,,18,0,Nagole Bus Stand,Public Gardens Bus Stop,,
95R,,,29,0,Rajendra Nagar Bus Depot,Koti Bus Terminus,,
95P,,,27,0,Koti Bus Terminal,Agriculture University,,
95M,,,26,0,Koti,Laxmiguda,,
95K,,,27,0,Koti,Maduban Colony,,
95A,,,27,0,Agriculture University,Koti Bus Terminus,,
94U,,,19,0,Koti,Upparpally X Road Bus Stop,,
94K,,,29,0,Kismatpur,Koti Bus Terminus,,
86,,,23,0,Koti,Secunderabad/Chilkalguda Circle Bus Stop,,
84S,,,34,0,Saroor Nagar Bus Terminal,Sanath Nagar,,
84,,,36,0,Saroor Nagar Bus Terminal,Sanath Nagar,,
75R,,,18,0,Koti,Rajanna Bai,,
74,,,21,0,Putlibowli Bus Stop,Sardar Vallabhbhai Patel National Police Academy,,
73,,,15,0,Chandulal Baradari,Koti Bus Terminus,,
67L,,,16,0,Koti,Lalitha Bagh,,
66G,Golconda Fort,Shah Ali Banda,33,34,Shah Ali Banda,Golconda Fort,4:20 AM,9:45 PM
65S,Shakepet Darga,Charminar,37,41,Charminar,Shakepet Darga,6:10 AM,10:06 PM
65M,Langer Houz,Charminar,19,21,Charminar Bus Station,Langer Houz,6:05 AM,8:55 PM
65,Charminar,Mehdipatnam,28,21,Tolichowki,Charminar,6:35 AM,9:18 PM
63M,Charminar,Mehdipatnam,22,19,Mehdipatnam Bus Stop,Charminar Bus Stop,6:28 AM,7:28 PM
63B,Charminar,Mehdipatnam,22,19,Mehdipatnam Bus Stop,Charminar Bus Stop,6:46 AM,8:58 PM
56G,GSI Gate,Mehdipatnam,35,36,Mehdipatnam Bus Stop,GSI Gate Bus Stop,5:30 AM,4:30 PM
41K,Jagadgirigutta,Central Bus Station (CBS),45,43,Central Bus Station (CBS),Jagadgirigutta,5:20 AM,5:05 PM
41C,Asbestos Colony,Koti,37,35,Koti,Asbestos Colony,5:00 AM,6:40 PM
40E,East Maredpally,Koti Bus Terminal,31,26,Koti Bus Terminal,East Maredpally,4:00 AM,7:10 PM
36K,Mallikarjun Nagar,Koti Bus Terminal,40,35,Koti Bus Terminal,Mallikarjuna Nagar Bus Stop,6:28 AM,4:38 PM
9Y,,,21,0,Yusufguda Basthi,Central Bus Station,,
9V,,,16,0,Koti Bus Terminal,Gayatri Hills,,
9R,,,30,0,AG Colony Bus Stop,Charminar Bus Stop,,
9Q,,,51,0,Charminar,Suchitra X Road,,
9A,,,35,0,Sri Ramanagar,Central Bus Station,,
9,,,42,0,Charminar Bus Station,Jeedimetla Bus Stop,,
7V,,,24,0,Koti,Venkatapuram,,
7M,,,24,0,Secunderabad Railway Station Bus Stop,Mahatma Gandhi Bus Station,,
7I,,,22,0,Mahatma Gandhi Bus Station,Secunderabad Bus Stop,,
7H,High Court (Post Office),KPHB,38,40,K.P.H.B Main Road Bus Stop,High Court (Post Office),6:00 AM,8:30 PM
7C,,,28,0,Secunderabad Railway Station Bus Stop,Afzalgung Central Library,,
280C,Koti Bus Terminal,Ghatkesar,44,44,Ghatkesar Bus Stop,Koti Bus Terminal,6:30 AM,7:40 PM
252H,Afzalgunj Terminal,HCL Colony,27,29,HCL Colony,Afzalgunj Bus Terminus,6:00 AM,8:45 PM
236,HCL Colony,Nampally,36,36,Nampally,HCL Colony,8:15 AM,7:55 PM
224/113K,,,67,0,Rtc Bus Depot – Uppal,Miyapur bus depot,,
216L/W,,,73,0,ECIL Bus Terminal,Gachibowli Stadium,,
216,,,0,0,,,,
190RK,KPHB,Ramnagr Gundu,41,39,Ramnagar Gundu Bus Stop,K.P.H.B Main Road Bus Stop,6:05 AM,8:55 PM
190AG,AG Colony,Ramnagr Gundu,29,30,Ramnagar Gundu Bus Stop,AG Colony,6:55 PM,7:45 PM
156H,Mehdipatnam,NGOS Colony,40,44,NGOS Colony,Mehdipatnam Bus Stop,6:40 AM,6:05 PM
141,Nampally,Uppal Depot,36,33,Uppal Bus Depot,Public Gardens Bus Stop,5:05 AM,3:55 PM
137,Beerban Bagh,VST,25,24,VST,Beerban Bagh,5:20 AM,12:00 PM
136S,Ahobhila Mutt,Nampally,17,16,Nampally,Ahobhila Mutt,7:20 AM,5:15 PM
136N,Hema Nagar,Nampally,32,28,Public Gardens Bus Stop,Hema Nagar,6:10 AM,7:40 PM
136L,Nampally,Lalapet,29,27,Prashanth Nagar Bus Stop,Public Gardens Bus Stop,7:05 AM,7:40 PM
136H,Nampally Public Garden,ECIL Bus Terminal,42,41,ECIL Bus Terminal,Nampally Public Garden,6:00 AM,9:00 PM
136B,Kalyanpuri,Nampally,25,24,Public Gardens Bus Stop,Kalyanpuri,7:05 AM,6:40 PM
136,,,21,0,Nampally,Tarnaka,,
113Y,Yusufguda Basthi,Uppal Depot,38,36,Uppal Bus Depot,Yousufguda Basti (Setwin),5:25 AM,12:45 PM
113S,Sanath Nagar,Uppal Bus Stand,46,47,Uppal,Sanath Nagar,9:15 AM,4:45 PM
113M/W,Waverock,Uppal Bus Stand,59,55,Uppal,Waverock,2:10 AM,7:11 PM
113M/K,,,69,0,Uppal,Lingampally,,
113M/288,,,65,0,Uppal,Moinabad,,
113M/216,Uppal Depot,Lingampally,70,71,Lingampally Bus Station,Rtc Bus Depot – Uppal,6:00 AM,3:05 PM
113M,Uppal,Mehdipatnam,37,35,Mehdipatnam Bus Stop,Uppal,4:30 AM,9:51 PM
113KY,,,79,0,Chengicherla Bus Depot,Infotech,,
113K/L-1,,,68,0,JNTU,Infosys SEZ,,
113KJ,,,72,0,Infosys SEZ,JNTU,,
113K/L,Lingampally,Uppal Depot,71,75,Rtc Bus Depot – Uppal,Lingampally Bus Station,7:10 AM,7:50 AM
113K/J-2,JNTU,Boduppal Srinivas Nagar,57,57,Boduppal Srinivas Nagar,K.P.H.B Main Road Bus Stop,7:55 AM,6:10 PM
113K/J,JNTU,Uppal Depot,64,59,Chengicherala Bus Stop,K.P.H.B Main Road Bus Stop,6:40 AM,6:38 PM
113K,Kukatpally Bus Depot,Chengicherla Bus Depot,56,58,Chengicherla Bus Depot,Kukatpally Bus Depot,6:00 AM,9:00 PM
113A,,,50,0,Chengicherla X Roads,AG Colony,,
42,Tourist / Kachiguda,Secunderabad Bus Station,20,22,Secunderabad Bus Station 2,Tourist / Kachiguda,5:20 AM,7:50 PM
31,Imliban,Siti Nagar / Moulali,33,33,Siti Nagar / Moulali,Imliban,8:29 AM,4:29 PM
16T,Nampally,Sainikpuri,39,35,Sanikpuri Bus stop,Public Gardens Bus Stop,7:51 AM,5:51 PM
